Provinsi;Putus;Miskin;IPM;RLS;HLS;APS;TPT;PDRB;U;V
ACEH;448;14.64;72.8;9.79;14.37;97.28;6.17;34680.92;5.553;95.319
BALI;43;4.57;76.44;9.74;13.48;90.77;4.8;50534.2;-8.652;115.219
BANTEN;411;6.16;73.32;9.46;13.05;90.42;8.09;55207.8;-6.105;105.988
BENGKULU;139;14.62;72.16;9.28;13.68;97.66;3.59;39156.38;-3.519;102.536
DI YOGYAKARTA;149;11.34;80.64;10.07;15.65;97.49;4.06;40240.4;-7.978;110.367
DKI JAKARTA;850;4.69;81.65;11.3;13.08;93.9;7.18;274519.39;-6.175;106.827
GORONTALO;159;15.42;69.81;8.39;13.12;83.84;2.58;37170.55;0.719;122.456
JAMBI;115;7.62;72.14;9.07;13.05;89.58;4.59;64729.82;-1.64;102.946
JAWA BARAT;1256;1.32;73.12;9.14;12.62;87.47;8.31;45193.76;-6.934;107.605
JAWA TENGAH;1053;10.93;72.79;8.38;12.81;93.43;5.57;38646.98;-6.99;110.423
JAWA TIMUR;1335;10.38;72.75;8.5;13.37;95.68;5.49;60048.66;-7.246;112.738
KALIMANTAN BARAT;315;6.73;68.63;8.1;12.66;80.92;5.11;42282.9;-0.023;109.345
KALIMANTAN SELATAN;150;4.49;71.84;8.89;12.82;93.15;4.74;47998.87;-3.319;114.593
KALIMANTAN TENGAH;110;5.28;71.63;9.03;12.75;93.74;4.26;62784.47;-2.207;113.916
KALIMANTAN TIMUR;114;6.31;77.44;10.13;13.84;99.6;5.71;182915.31;-0.502;117.139
KALIMANTAN UTARA;25;6.77;71.83;9.45;13.06;90.34;4.33;155080.62;2.842;117.369
KEP. BANGKA BELITUNG;35;4.45;72.24;8.57;12.18;86.71;4.77;58351.43;-2.121;106.113
KEP. RIAU;28;6.24;76.46;10.46;12.99;92.25;8.23;130118.86;0.924;104.446
LAMPUNG;356;11.57;70.45;8.61;12.74;88.65;4.52;40872.87;-5.446;105.264
MALUKU;104;15.97;70.22;10.37;14;95.49;6.88;26114.91;-3.696;128.179
MALUKU UTARA;100;6.23;69.47;9.6;13.73;97.98;3.98;40395.81;0.785;127.383
NUSA TENGGARA BARAT;258;13.68;69.46;8.31;13.96;95.62;2.89;25995.55;-8.584;116.107
NUSA TENGGARA TIMUR;547;20.05;65.9;8.25;13.21;93.28;3.54;20580.34;-10.163;123.602
PAPUA;379;26.56;61.39;7.31;11.14;73.3;2.83;54067.06;-4.095;136.633
PAPUA BARAT;120;21.33;65.89;10.14;13.21;96.16;5.37;73543.81;-0.861;134.077
RIAU;229;6.78;73.52;9.54;13.29;95.99;4.37;129205.64;0.526;101.452
SULAWESI BARAT;115;11.75;66.92;8.47;12.87;88.53;2.34;35192.12;-2.676;118.885
SULAWESI SELATAN;469;8.63;72.82;9.09;13.53;87.85;4.51;59649.96;-5.134;119.412
SULAWESI TENGAH;161;12.33;70.28;9.17;13.32;88.12;3;81845.9;-0.905;119.872
SULAWESI TENGGARA;182;11.17;72.23;9.59;13.69;91.45;3.36;52446.58;-3.992;122.518
SULAWESI UTARA;293;7.28;73.81;9.87;12.95;91.71;6.61;54048.87;1.49;124.841
SUMATERA BARAT;252;5.92;73.26;9.51;14.1;96.46;6.28;45356.77;-0.925;100.363
SUMATERA SELATAN;369;11.9;70.9;8.82;12.55;88.06;4.63;57731.33;-2.989;104.757
SUMATERA UTARA;709;8.42;72.71;9.99;13.31;90.42;6.16;57574.03;3.59;98.674
