"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"1";265747244837.463;140114.210296495;28641.9555169856;13459296.8867189;689660.578573777;22492.8415682935;42686197.0438322;3902792564.40668
"2";297812639646.926;139230.021812912;34852.2816850876;16182895.4159487;762085.605972435;25154.3498745277;57017952.2079994;3861771619.07858
"3";347914892474.632;186405.456265433;37535.6352497847;18308568.7439222;900860.306357672;29459.352527093;58585390.92961;5211177050.22088
"4";337314662810.972;180698.018602639;36271.190149978;17507338.1150742;874514.393384738;28559.4729176962;55653586.3664227;5051843090.82031
"5";334990707264.633;175997.593960702;36684.2057659177;17988141.051206;864162.300733259;28349.1379271366;58782780.785564;4905955300.00212
"6";348626627397.885;186562.555144145;37670.9320231902;18400365.6925639;902487.111575356;29525.7169686405;59060979.567686;5207594264.62117
"7";202439186322.695;75451.3770203361;27682.2429115271;10925836.8579022;528409.448993557;17533.9158976558;45920330.9195935;2020790100.13287
"8";334015709833.385;178699.656999933;35950.2892604036;17299376.5362225;866515.56591355;28302.856309926;55163512.2019709;4970962481.79746
"9";346888239680.16;185221.589920372;37556.6203347879;18384171.4118841;897348.863117074;29371.4308154189;59152503.6149237;5174326068.08259
"10";338423267518.56;178183.94899648;37035.7262882488;18148587.8039466;873746.806226679;28664.6794303544;59411449.8619236;4944057560.77462
"11";318740643680.202;162757.463681159;35526.7331589003;17278058.2357475;819756.391073345;26973.7082432611;57961177.8933311;4486020336.95643
"12";322537832484.145;172220.368114164;35047.4338038409;16986379.8142833;837876.480661747;27458.6575446076;55751400.8944474;4661764933.13953
"13";286057607739.351;143152.822472562;32409.3559437358;15549767.6985997;736841.937417529;24329.9759603081;54353189.5574638;3787598834.37676
"14";289939034357.947;148600.869008831;32454.9779755188;15690931.1091662;749481.810284769;24710.3865920198;54178268.8942046;3927775873.7873
"15";235836825309.536;108487.772946101;28190.3239861408;12770207.0020745;609245.073233647;20180.4050045026;48180203.8733779;2777793006.65778
"16";175423975066.126;82498.6276983677;20870.4149824002;9484478.31514624;456426.344569359;15143.7398817265;36803923.1076791;1990572315.21029
"17";342918031724.945;183649.068564765;37016.0571267588;17926240.2168435;889628.848657778;29094.5680192092;57679027.0628491;5073530526.11686
"18";324092147950.739;173107.070771518;34960.7444882628;16769917.32105;841694.744344455;27508.0943985881;53867720.0082833;4767739652.48714
"19";347281196587.859;186186.81670758;37426.7529511555;18213376.9824549;899606.831168831;29408.357943109;58186021.6398758;5202898894.48582
"20";202673499908.004;66872.6877639039;29942.7659468519;10992189.2415352;530902.889931071;17632.2473142197;47840258.7895357;1918872374.44647
"21";178634878032.119;59043.7296363601;26461.5927648967;9659736.75489901;469875.084526749;15606.7981311703;42863718.8104824;1638871657.54185
"22";294969676125.911;133425.936756385;35231.2209172367;16014678.8455804;755387.249693637;24951.0696686865;57564097.7751858;3713708217.41131
"23";247762469754.485;89997.6936320711;34129.8601687067;13455829.1049795;641461.083898066;21266.8300660163;54342348.0171715;2629597714.76999
"24";154790626669.177;46274.55763311;24489.3580554322;8415793.27978513;408765.964556324;13591.0108306997;38515962.0309564;1354603963.90742
"25";155332750684.341;47028.8643432289;24403.0332978676;8428221.43179458;410648.520217084;13650.9511461804;38706961.9034414;1350403634.99203
"26";318833168309.79;170030.327920982;34321.9859898651;16403550.8779015;827500.475506172;27017.7776571556;52263528.753185;4723234420.89351
"27";256872048371.342;107813.920592603;32378.2021202971;13897888.3744686;663360.061398499;21973.7770923965;53910264.6377105;2894701738.37429
"28";271210178696.242;110622.563635467;34718.760005812;14689799.5820718;699509.638414012;23165.9699267545;56939491.6919534;3057860251.16787
"29";232898366768.292;94732.5141581044;30024.9964028403;12583387.209304;603719.739352548;20013.2092504204;50207641.3446247;2516639295.90451
"30";243665167286.11;90558.7818963766;33200.2203953675;13194174.7171745;632607.991405922;20979.8003802352;53975573.8672224;2535035644.09232
"31";183895204767.506;64098.7895106973;26309.3647312758;9927433.15846945;482459.964787519;16018.2500297797;43198215.7677012;1739263253.15882
"32";320742259563.857;171194.143549685;34486.6552836349;16506442.4608884;832017.531293353;27156.7828365017;52396354.7366307;4779267212.63129
"33";343662096042.816;184139.746095503;37028.5843181278;17921569.5965769;891196.226207002;29127.7060985068;57334733.389616;5117807437.51546
"34";290506996095.872;153967.33053365;31296.7735203684;14809749.4047776;754136.220986785;24608.5151084799;47102917.0262429;4276893862.56442
